strategy,official_score,official_mean,official_std,official_sharpe,early_score,fold_median,fold_min,positive_folds,window_median,window_min,cost_10x_score,volume
beta_w250_s0.75,522.299547731945,541.3199875863997,1633.332187361819,5.24022032074206,384.29411993404165,438.96165182845374,125.05033656242018,8,447.3691091800416,354.8204043253953,140.3617338199345,107696947.84999996
beta_w250_s1.0,522.8153403518148,541.8710971143997,1635.7048084934224,5.237946529832822,381.2750039747535,439.09786429543533,130.03083220167855,8,447.2157441542975,355.90162924514266,140.68811426269832,107925078.75000004
volhyst_h0.2_p0.5,470.9765906046711,491.28707959199977,1613.1170295210877,4.815478753529692,318.44251684377,388.2029482132643,18.48805034915313,8,376.2335918580121,293.36394270887996,53.19684932352833,116869837.77999997
volhyst_h0.25_p0.5,477.14306140598086,497.9721139487997,1645.0741535072073,4.786185741140856,316.92030184254935,413.52116229664296,0.011013298604204339,8,395.97356075511135,325.55390045756275,77.32546131304522,111313588.23999998
volhyst_h0.3_p0.5,506.3741133774626,525.6194092175997,1620.1974561629554,5.129481314753224,341.2850481725421,387.09787757049764,102.46176351956106,8,414.64645239521354,336.6678463889965,123.53045851643691,107406405.22000001
volhyst_h0.35_p0.5,477.0190159648088,496.4847054871996,1585.779972409145,4.950316311512758,316.1695429302884,338.7369107005885,58.00591827121514,8,382.1685191504751,307.2992781122886,109.22549547310928,103482279.36999999
volhyst_h0.2_p1.0,462.1998179471865,483.02912267999966,1621.3091067223618,4.710613779717897,284.21360700080135,353.2410380924892,-7.049594855999653,7,362.8132003931532,282.0848442234072,48.9270286446017,115099629.41999999
volhyst_h0.25_p1.0,494.9719734960555,514.0066393039996,1593.7531523291848,5.099383522077376,290.93102678940306,378.70921757266956,1.039447872852696,8,384.58339117554027,302.1977237016563,99.67709822241169,110593607.85999995
volhyst_h0.3_p1.0,474.9462725790768,494.65851238799956,1593.3868789354121,4.908561705308549,325.1196920121038,328.7067767259059,60.680545462948714,8,392.71780605144767,300.32116081555887,94.1535726943599,107078646.79000005
volhyst_h0.35_p1.0,466.892767889221,486.68411485519965,1584.3323080123957,4.8570312433260625,290.54472832861296,343.5422911114399,87.01072910082729,8,366.7039696091353,272.3964782987155,100.05869115618994,103464069.63000004
volhyst_h0.2_p1.5,488.01250934081344,506.9642768359995,1579.6349891188158,5.074469159600622,271.34565007042227,353.326963777213,0.3255863007770624,8,365.68120666725673,281.9985354245467,78.17882769319013,114654229.42999995
volhyst_h0.25_p1.5,477.5408277320366,496.8351739327995,1579.0363160127165,4.974967185304781,291.16628515560654,341.46637319780854,72.88404403319396,8,381.3778654011597,274.7524931048551,86.20009668571925,109194572.12000003
volhyst_h0.3_p1.5,488.9243286661513,507.7031258215996,1573.2324761967786,5.102546117864674,299.8823351760097,390.47891911472755,41.499789763795285,8,386.58851998101983,299.57540622809364,116.90006135526377,104682397.75
volhyst_h0.35_p1.5,499.87190581202043,518.8605576375998,1598.9628135677078,5.130767070495136,326.5962073342802,417.3624391455438,123.20167729043273,8,394.2500123769235,333.144349299783,143.18719462117602,101128542.68999995
